subjects	S	condition	R	rt
1	left	sugar	right	0.270582576208317
1	right	sugar	right	0.176079658697498
1	left	sugar	left	0.307508679647163
1	right	sugar	left	0.456536554078786
1	right	sugar	left	0.233622281907015
1	left	sugar	right	0.227569651110824
1	right	sugar	right	0.328584167741664
1	left	sugar	left	0.741783726145155
1	left	sugar	right	0.409136000502064
1	left	sugar	left	0.366539050152229
1	left	sugar	left	0.774383887136952
1	left	sugar	left	0.223849019480977
1	right	sugar	right	0.228668866025756
1	right	sugar	left	0.275338375882375
1	right	sugar	right	0.706179972396559
1	left	sugar	left	0.450551305081264
1	right	sugar	left	0.208753568728832
1	right	sugar	right	0.320377644212475
1	left	sugar	left	0.258439136714614
1	left	sugar	left	0.256451069230967
1	left	sugar	left	0.760051848382898
1	left	sugar	left	0.262605141704167
1	right	sugar	right	0.212887907560805
1	left	sugar	right	0.288714131508218
1	right	sugar	right	0.374871686639926
1	right	sugar	right	0.403347210995352
1	right	sugar	right	0.291295311466343
1	left	sugar	left	0.49184791934579
1	left	sugar	left	0.40844711893956
1	left	sugar	right	1.35299853044181
1	right	sugar	left	0.286421664970731
1	right	sugar	left	0.607000714052383
1	left	sugar	left	0.350874428685117
1	left	sugar	left	0.226024173378024
1	right	sugar	right	0.259833389833555
1	left	sugar	left	0.324613205698872
1	left	sugar	left	0.377569483056755
1	left	sugar	left	0.356298391924815
1	left	sugar	right	0.475269589814638
1	right	sugar	left	0.435821805926361
1	right	sugar	left	0.392407104106675
1	right	sugar	right	0.395298132699361
1	right	sugar	left	0.653208645910973
1	right	sugar	left	0.216462810025978
1	right	sugar	right	0.216701566260987
1	right	sugar	left	0.527878078622309
1	right	sugar	right	0.519011688832177
1	right	sugar	left	0.341968353516069
1	right	sugar	right	0.50292292457676
1	right	sugar	right	0.30446351274591
1	left	sugar	right	0.252440562902993
1	left	sugar	right	0.246738342293023
1	left	sugar	right	0.360350709251418
1	left	sugar	left	0.557472586257764
1	right	sugar	right	0.184895746824734
1	right	sugar	right	0.246373052783523
1	left	sugar	left	0.234282333016532
1	left	sugar	right	0.197339480872333
1	left	sugar	right	0.313328339470698
1	right	sugar	right	0.219803301117149
1	right	sugar	right	0.343346501790636
1	left	sugar	left	0.456602452641726
1	left	sugar	left	0.39028526111221
1	right	sugar	right	0.386812947638947
1	right	sugar	left	0.560121589210577
1	left	sugar	right	0.234291171242889
1	left	sugar	left	0.279375998681749
1	left	sugar	right	0.503412298608562
1	left	sugar	right	0.370305154737142
1	left	sugar	left	0.376230530835085
1	left	sugar	left	0.431023340456017
1	right	sugar	right	0.232126783732303
1	right	sugar	left	0.215493554780804
1	right	sugar	left	0.199970799810399
1	left	sugar	left	0.44511385362753
1	right	sugar	left	0.284798654359354
1	left	sugar	left	0.467195121752672
1	right	sugar	left	0.546619719933141
1	left	sugar	left	0.36154121359857
1	right	sugar	right	0.792883017564513
1	left	sugar	left	0.184387400084028
1	left	sugar	right	0.327751386925882
1	left	sugar	left	0.295920286687251
1	right	sugar	left	0.335917826885428
1	right	sugar	right	0.656234958274406
1	left	sugar	right	1.13002002486592
1	right	sugar	left	0.35548393810767
1	right	sugar	right	0.441918537595887
1	left	sugar	left	0.456525039889085
1	left	sugar	left	0.321375934632493
1	left	sugar	left	0.272069368139827
1	left	sugar	left	0.241883517807556
1	left	sugar	right	0.255122036712815
1	right	sugar	left	0.261138314691778
1	right	sugar	left	0.36212920982679
1	left	sugar	left	0.379459718076547
1	right	sugar	right	0.483106683124157
1	left	sugar	left	0.276965171172608
1	right	sugar	left	0.282002551215464
1	right	sugar	left	0.24639768354503
1	left	sugar	left	0.440772852017324
1	right	sugar	right	0.382690291932215
1	right	sugar	right	0.544480112886208
1	left	sugar	left	0.705937925546583
1	right	sugar	right	0.21664393293356
1	right	sugar	left	0.207144533176508
1	left	sugar	right	0.656416066100795
1	left	sugar	left	0.268150168287299
1	right	sugar	left	0.238434674551297
1	right	sugar	right	0.351811866350579
1	left	sugar	left	0.51182546207705
1	right	sugar	left	0.316970380499101
1	right	sugar	right	0.413365425070183
1	left	sugar	right	0.545275498617384
1	right	sugar	right	0.516390867732949
1	right	sugar	left	0.975986436915979
1	right	sugar	left	0.808442301100267
1	right	sugar	left	0.348488158459526
1	right	sugar	left	0.617118877402891
1	left	sugar	right	0.365742819333362
1	right	sugar	right	0.244938818894219
1	left	sugar	left	0.594733464472474
1	left	sugar	left	0.535739988936852
1	right	sugar	right	0.22237797552057
1	right	sugar	right	0.817440364145761
1	left	sugar	right	0.201224446340361
1	left	sugar	left	0.311323561955774
1	right	sugar	left	0.215424916004084
1	left	sugar	left	0.939445825055162
1	right	sugar	right	0.321258580853801
1	left	sugar	left	0.268918938466833
1	left	sugar	left	0.240884142253886
1	right	sugar	right	0.354648967195546
1	right	sugar	left	0.460485881763795
1	right	sugar	left	0.72796663879596
1	left	sugar	left	0.259693709922575
1	right	sugar	right	0.436603788790915
1	right	sugar	left	0.545773678035337
1	right	sugar	right	0.251253370832637
1	right	sugar	right	0.737260238937271
1	right	sugar	right	0.522656758878032
1	right	sugar	right	0.279672276479258
1	right	sugar	right	0.276068561879583
1	right	sugar	right	0.757557692995422
1	left	sugar	right	0.330941210394776
1	right	sugar	right	0.30023250895061
1	right	sugar	right	0.325818633609654
1	right	sugar	left	0.48108918493113
1	right	sugar	right	0.38509491509555
1	right	sugar	left	0.39826504210069
1	right	sugar	left	0.226958171226529
1	right	sugar	right	0.375735657959091
1	right	sugar	right	0.36211860913677
1	right	sugar	right	0.594796306298671
1	left	sugar	right	0.800312090679719
1	right	sugar	left	0.442433355259137
1	left	cucumber	left	0.189797979152519
1	right	cucumber	right	0.326675549567816
1	left	cucumber	left	0.764016311017845
1	left	cucumber	left	0.304753542203122
1	left	cucumber	right	0.581403700635636
1	left	cucumber	left	0.198531297289629
1	left	cucumber	left	0.389968949119927
1	right	cucumber	right	0.304320914676537
1	right	cucumber	left	0.255582048859961
1	right	cucumber	right	0.465299584308366
1	right	cucumber	right	0.338922498286943
1	right	cucumber	left	0.406826314978197
1	left	cucumber	left	0.469923110808383
1	left	cucumber	left	0.35651785090191
1	left	cucumber	left	0.611214654382023
1	right	cucumber	right	0.635612067330236
1	right	cucumber	right	0.880167719624313
1	left	cucumber	left	0.269205352245593
1	left	cucumber	left	0.283978150075452
1	right	cucumber	left	0.249594941641944
1	right	cucumber	right	0.33648914586787
1	left	cucumber	left	0.306703794851363
1	right	cucumber	right	0.510209328634817
1	left	cucumber	left	0.194304586026164
1	left	cucumber	left	0.590347830129867
1	left	cucumber	left	0.321580196659188
1	right	cucumber	right	0.371090351295212
1	left	cucumber	left	0.260628367763093
1	right	cucumber	right	0.488017645010756
1	left	cucumber	left	0.549635283827316
1	right	cucumber	right	0.428679637673004
1	left	cucumber	right	1.7690182494682
1	left	cucumber	left	0.311343249039434
1	right	cucumber	right	0.540090549285015
1	right	cucumber	right	0.71822130871301
1	left	cucumber	left	0.31218735727304
1	right	cucumber	right	1.31782967694704
1	right	cucumber	left	0.208946517999128
1	left	cucumber	left	0.247184675386589
1	left	cucumber	left	0.647102361803765
1	right	cucumber	right	0.341972919612238
1	left	cucumber	right	0.413921355388097
1	right	cucumber	right	0.198985143221856
1	right	cucumber	left	0.311966555453232
1	left	cucumber	left	0.405193836875923
1	left	cucumber	left	0.82258620534607
1	right	cucumber	right	0.324077936245532
1	right	cucumber	left	0.443524801697331
1	left	cucumber	left	0.421280145373186
1	left	cucumber	left	0.444037725460517
1	left	cucumber	left	0.234668130150146
1	left	cucumber	right	0.217541300339212
1	left	cucumber	left	0.519656059978472
1	left	cucumber	right	0.2766735300729
1	left	cucumber	left	0.425451477006327
1	left	cucumber	left	0.202347827330999
1	right	cucumber	right	0.750153110621632
1	right	cucumber	right	0.39326097565781
1	right	cucumber	right	0.256330372302674
1	left	cucumber	left	0.726882135463984
1	left	cucumber	left	0.437633922447307
1	left	cucumber	right	0.268857822513964
1	right	cucumber	right	0.394923521648536
1	right	cucumber	right	0.344421184150744
1	left	cucumber	left	0.199469971696154
1	left	cucumber	left	0.528080812396832
1	left	cucumber	left	0.319475150537946
1	left	cucumber	right	0.316347503956718
1	right	cucumber	right	0.38198434277739
1	right	cucumber	right	0.178859224881636
1	right	cucumber	right	0.263681484783451
1	left	cucumber	left	0.298806290506371
1	left	cucumber	right	0.340491975071937
1	left	cucumber	left	0.407585517997213
1	left	cucumber	left	0.708079401636911
1	right	cucumber	left	0.415758872294105
1	right	cucumber	right	0.471465465301178
1	left	cucumber	left	0.369023559846702
1	left	cucumber	left	0.278474162817023
1	right	cucumber	right	0.279546100249476
1	left	cucumber	left	0.387854241331996
1	right	cucumber	right	0.51024182612105
1	left	cucumber	right	0.276828914368974
1	right	cucumber	right	0.225636782976404
1	left	cucumber	left	0.391621719359909
1	right	cucumber	right	0.283656164688296
1	left	cucumber	right	0.645503687486942
1	left	cucumber	left	0.307736991964333
1	left	cucumber	left	0.262236336701095
1	left	cucumber	left	0.361339775269235
1	right	cucumber	left	0.44093962352242
1	right	cucumber	right	0.686000677331315
1	right	cucumber	left	0.231855909549469
1	right	cucumber	right	0.234695935551408
1	right	cucumber	right	0.230103721799359
1	right	cucumber	right	0.638887843518428
1	right	cucumber	left	0.448246604466799
1	left	cucumber	left	0.207140764814326
1	left	cucumber	left	0.750656200951595
1	right	cucumber	right	0.885397265304909
1	left	cucumber	left	0.534782976006655
1	right	cucumber	right	0.679868657756773
1	left	cucumber	right	0.271112981879778
1	left	cucumber	left	0.30197510669707
1	right	cucumber	left	0.484351393070479
1	left	cucumber	right	0.253252137545325
1	left	cucumber	left	0.175380493950549
1	right	cucumber	right	0.278643291773127
1	right	cucumber	left	0.709669367213599
1	right	cucumber	left	0.256396983050227
1	left	cucumber	right	0.279562037287579
1	right	cucumber	right	0.219272768584752
1	left	cucumber	right	0.42384069670958
1	left	cucumber	left	0.328422057292576
1	left	cucumber	left	0.486501250141648
1	left	cucumber	left	0.211458217970668
1	right	cucumber	right	0.718081859640371
1	right	cucumber	right	0.462357707385229
1	left	cucumber	left	0.290065633154665
1	left	cucumber	left	0.48772342782982
1	right	cucumber	right	0.424729906862456
1	left	cucumber	right	0.873774461441375
1	left	cucumber	left	0.300963787891456
1	right	cucumber	right	0.209967710377614
1	right	cucumber	right	0.202110154576327
1	left	cucumber	left	0.222055011191624
1	left	cucumber	right	0.200787646999017
1	right	cucumber	left	0.623418022907206
1	left	cucumber	left	0.207385402117166
1	right	cucumber	left	0.345344566585077
1	right	cucumber	right	0.764370214197249
1	right	cucumber	right	0.300859666424433
1	right	cucumber	right	0.249610898906737
1	right	cucumber	right	0.286965399179644
1	left	cucumber	left	0.484970649654405
1	right	cucumber	right	0.312105004977544
1	right	cucumber	right	0.429553187548547
1	left	cucumber	left	0.217051332908747
1	right	cucumber	right	0.380524824153248
1	right	cucumber	right	0.295891084204626
1	right	cucumber	right	0.225227060203505
1	right	cucumber	left	0.210761324115963
1	right	cucumber	right	1.10302313714076
1	right	cucumber	right	0.60737725475325
1	right	cucumber	left	0.21587944763517
1	left	cucumber	left	0.260670896034911
1	right	cucumber	left	0.220401332292874
1	left	cucumber	right	0.244848403865206
1	left	cucumber	left	0.351250634285844
1	left	cucumber	left	0.785721710388177
1	right	cucumber	right	0.359312132973013
1	left	cucumber	left	0.253721690286896
1	left	cucumber	right	0.27130521966787
1	left	cucumber	left	0.288667962271989
1	right	cucumber	left	0.655955093598837
1	left	cucumber	left	0.217915223821746
1	left	cucumber	left	0.231840437008106
1	left	cucumber	left	0.339606196104315
1	left	cucumber	right	0.473398436795253
1	left	cucumber	right	0.253585302166722
1	right	cucumber	right	0.536003760301996
1	right	cucumber	right	1.03833280560788
1	left	cucumber	left	0.274788812315615
1	right	cucumber	right	0.246688955656966
1	right	cucumber	right	0.372867689127164
1	left	cucumber	left	0.379323401907196
1	right	cucumber	right	0.339390415019031
1	right	cucumber	right	0.595673033785542
1	left	cucumber	left	0.513956759980697
1	left	cucumber	left	0.496643532921105
1	right	cucumber	right	0.460394452507875
1	left	cucumber	left	0.30730655634572
1	left	cucumber	left	0.224443010473243
1	right	cucumber	left	0.357722509977555
1	right	cucumber	right	0.339559274718962
1	right	cucumber	right	0.226069265918035
1	left	cucumber	right	0.243179690783808
1	right	cucumber	right	0.421281990925197
1	right	cucumber	left	0.211376894579565
1	right	cucumber	right	0.539866926314829
1	left	cucumber	left	1.20911728187835
1	right	cucumber	right	0.361683873391992
1	right	cucumber	right	0.538396652085992
1	right	cucumber	left	0.428546599898919
1	left	cucumber	right	0.376776548079348
1	right	cucumber	right	0.328664323127871
1	left	cucumber	left	0.334042000760119
1	left	cucumber	left	0.304291365366668
1	left	cucumber	left	0.277879054329987
1	left	cucumber	left	0.186904775971164
1	left	cucumber	left	0.334872556990757
1	left	cucumber	right	0.441631827208956
1	right	cucumber	right	0.234604524642785
1	right	cucumber	right	0.476008079048106
1	right	cucumber	right	0.350405788206153
1	right	cucumber	right	0.204622933663746
1	left	cucumber	left	0.530766950286782
1	right	cucumber	right	0.448006726505265
1	right	cucumber	right	0.190289409211137
1	right	cucumber	right	0.409143599231734
1	right	cucumber	right	0.519576231874654
1	right	cucumber	right	0.458719314706443
1	right	cucumber	right	0.310305924500434
1	left	cucumber	left	0.197867545056789
1	left	cucumber	left	0.334959551904262
1	left	cucumber	left	0.547120260018743
1	right	cucumber	left	0.490196186399085
1	right	cucumber	right	0.268653936144225
1	right	cucumber	left	0.211255673546772
1	left	cucumber	left	0.279995290243819
1	right	cucumber	right	0.200021300684739
1	right	cucumber	right	0.239085924263394
1	right	cucumber	right	0.343519248852564
1	left	cucumber	left	0.252002482883292
1	right	cucumber	right	0.469989373280984
1	left	cucumber	left	0.43016198767432
1	right	cucumber	left	0.334616446734657
1	left	cucumber	right	0.33319017268495
1	right	cucumber	left	0.606480221176987
1	left	cucumber	left	0.272782746119006
1	left	cucumber	left	0.386039750251291
1	left	cucumber	left	0.194183115255746
1	right	cucumber	right	0.39688827010605
1	right	cucumber	right	0.226841235162505
1	left	cucumber	left	0.193857948733535
1	right	cucumber	right	0.195805163526375
1	left	cucumber	left	0.697288072967574
1	left	cucumber	left	0.204859875363479
1	right	cucumber	right	0.660040256973093
1	right	cucumber	left	0.208856129247344
2	left	sugar	left	0.414098412021209
2	right	sugar	right	0.395976583554545
2	right	sugar	left	0.357974768267937
2	left	sugar	left	0.429779861109966
2	left	sugar	left	0.541894992050186
2	left	sugar	right	0.41259446829103
2	right	sugar	right	0.292229667954523
2	right	sugar	right	0.467468149909075
2	right	sugar	right	0.648070210590723
2	right	sugar	right	0.752428128450945
2	right	sugar	right	0.255218757369281
2	left	sugar	left	0.474406753095067
2	right	sugar	right	0.496489543913625
2	right	sugar	left	1.07193148289079
2	right	sugar	right	0.278974959776802
2	right	sugar	left	0.388472102343366
2	right	sugar	right	0.293748573367438
2	left	sugar	left	0.649425521128879
2	right	sugar	right	0.41535954278608
2	left	sugar	left	0.560422035614101
2	right	sugar	right	0.287437372332891
2	right	sugar	left	0.241663250663911
2	right	sugar	left	0.266327893283533
2	right	sugar	left	0.852615908469506
2	left	sugar	left	0.34021233449471
2	right	sugar	right	0.256401622956231
2	left	sugar	left	1.1244591095707
2	right	sugar	left	0.544173550073701
2	right	sugar	right	0.628555983221644
2	right	sugar	left	0.298504077315565
2	left	sugar	left	0.29839990021112
2	left	sugar	left	0.567080627210983
2	left	sugar	left	0.385081971875854
2	left	sugar	left	0.445154698245638
2	left	sugar	left	0.350426631681066
2	left	sugar	left	0.226756863054373
2	right	sugar	left	0.304213206266095
2	left	sugar	left	0.321460125070186
2	left	sugar	left	0.34625912769605
2	left	sugar	left	0.482107208455894
2	left	sugar	left	0.219304641026282
2	left	sugar	left	0.230325487518515
2	left	sugar	left	0.37724899288371
2	left	sugar	right	0.309404462170097
2	left	sugar	right	0.329045518086865
2	right	sugar	right	0.447522274049277
2	left	sugar	right	0.321053558414854
2	right	sugar	right	0.284940410569614
2	right	sugar	right	0.550778971622171
2	left	sugar	left	0.384951589243217
2	left	sugar	right	0.573429557392734
2	right	sugar	right	0.591770031380708
2	right	sugar	left	1.58276947499307
2	right	sugar	right	0.418231890850549
2	right	sugar	left	0.275859139292853
2	left	sugar	left	0.523427702935729
2	left	sugar	left	0.375175024556707
2	right	sugar	right	0.391071008460027
2	right	sugar	right	1.00332607149048
2	right	sugar	right	0.558121843978032
2	left	sugar	left	0.808333288374957
2	right	sugar	right	0.418258791151707
2	left	sugar	left	0.35949030303822
2	left	sugar	left	0.368637890264721
2	right	sugar	right	0.394107269360912
2	left	sugar	left	0.672349060192993
2	left	sugar	left	0.323437542101972
2	right	sugar	right	0.798362363116219
2	left	sugar	left	0.471318272397957
2	left	sugar	left	0.464999745551738
2	left	sugar	right	0.420910224198693
2	right	sugar	right	0.486078424802897
2	left	sugar	right	0.314154917000851
2	right	sugar	right	0.364619126825284
2	left	sugar	left	0.325175495516014
2	left	sugar	left	0.577733093859164
2	right	sugar	right	0.329464030563198
2	left	sugar	left	0.319881140176887
2	right	sugar	right	0.287873849812546
2	left	sugar	left	0.475322296737537
2	left	sugar	right	0.507310526983606
2	right	sugar	left	0.688582404357188
2	left	sugar	left	0.49808023245728
2	left	sugar	left	0.238917244383014
2	left	sugar	right	0.463315232721966
2	left	sugar	left	0.332858861241038
2	left	sugar	left	0.333708189971253
2	left	sugar	left	0.787996940689069
2	left	sugar	left	0.227603177818516
2	left	sugar	right	0.664071905096819
2	right	sugar	right	0.491331195427004
2	left	sugar	left	0.762409002234801
2	left	sugar	left	0.245220387096133
2	left	sugar	left	0.40054665143577
2	right	sugar	right	0.825870852199469
2	right	sugar	left	0.312773573296643
2	right	sugar	right	0.608495194071145
2	right	sugar	right	0.32192945875316
2	right	sugar	right	0.577832171448237
2	right	sugar	right	0.36879810192864
2	left	sugar	right	0.333792044443483
2	right	sugar	right	0.524568972467002
2	right	sugar	right	1.28588890204082
2	left	sugar	left	0.288309006145705
2	left	sugar	left	0.410567370341406
2	right	sugar	right	1.23246502055779
2	right	sugar	right	0.597238862338944
2	right	sugar	left	0.291394566184925
2	right	sugar	left	0.300809859987651
2	left	sugar	right	0.573624027386903
2	right	sugar	right	0.257713214926182
2	left	sugar	left	0.545325068293233
2	left	sugar	left	0.250578865109466
2	right	sugar	right	0.383157578387625
2	right	sugar	left	0.39172003177873
2	left	sugar	left	0.46644352914288
2	left	sugar	right	0.373138445729894
2	right	sugar	right	0.292773435573968
2	left	sugar	left	0.574391846517875
2	right	sugar	left	0.336726826724797
2	right	sugar	right	0.285710815672069
2	left	sugar	left	0.253690827851601
2	left	sugar	left	0.281398615236916
2	right	sugar	right	0.301281098572008
2	left	sugar	left	0.519493817931232
2	right	sugar	right	0.703060135882029
2	right	sugar	right	0.366637750567235
2	left	sugar	right	0.628094464233625
2	left	sugar	left	0.311869735124262
2	right	sugar	right	0.350695125966195
2	left	sugar	right	0.702890386145887
2	right	sugar	left	0.438539609909728
2	left	sugar	left	0.55539590975282
2	left	sugar	left	1.05238876332275
2	right	sugar	left	0.585559231962325
2	left	sugar	right	0.456966022096351
2	right	sugar	right	0.291917132908658
2	left	sugar	left	0.937744894532181
2	left	sugar	left	0.27808681844658
2	right	sugar	right	1.08034313288705
2	left	sugar	left	0.335268989267546
2	right	sugar	right	0.243103941125071
2	left	sugar	left	0.316418489281462
2	right	sugar	right	0.764709591929437
2	right	sugar	right	0.319618323646175
2	right	sugar	right	0.939624309729014
2	right	sugar	right	0.414694779412156
2	right	sugar	left	0.357428563199354
2	right	sugar	right	0.333191842586073
2	left	sugar	left	0.264596155876884
2	right	sugar	right	0.394641775875629
2	right	sugar	right	0.354721833033394
2	right	sugar	left	0.302322810641423
2	left	sugar	right	0.276603667870359
2	right	sugar	right	0.317530246109241
2	left	sugar	right	0.507526232422007
2	left	sugar	left	0.252075464484079
2	left	sugar	left	0.99449650176859
2	left	sugar	left	0.221765191755777
2	left	sugar	right	0.632315555973505
2	right	sugar	right	0.344299810115492
2	left	sugar	right	1.03267337071673
2	left	sugar	right	0.374103755337792
2	left	sugar	right	0.683972460600602
2	right	sugar	right	0.58039146011826
2	right	sugar	right	0.62917633125356
2	right	sugar	right	0.29858855569059
2	right	sugar	right	0.259591821722011
2	left	sugar	left	0.709832417145692
2	left	sugar	left	0.2815604292044
2	left	sugar	left	0.902740564774436
2	right	sugar	left	0.303293104636782
2	left	sugar	left	0.303610945767549
2	right	sugar	right	0.293846988141811
2	right	sugar	right	0.325598273205196
2	left	sugar	left	0.360423710708759
2	left	sugar	left	0.488445326984009
2	right	sugar	right	0.68823311467901
2	right	sugar	right	0.267304865166672
2	left	sugar	left	0.376810122321622
2	left	sugar	left	0.431821821224647
2	right	sugar	right	0.225548769100509
2	right	sugar	right	0.299871642495887
2	left	sugar	left	0.472265143349279
2	right	sugar	right	0.426879585954757
2	right	sugar	right	0.505878630058652
2	right	sugar	right	0.324804900194589
2	right	sugar	right	0.53665127147969
2	left	sugar	left	0.262159944461707
2	right	sugar	right	0.648414975520751
2	left	sugar	right	0.340116990200023
2	right	sugar	right	0.331298407231192
2	right	sugar	right	0.68518991291343
2	right	sugar	right	0.42745956879177
2	left	sugar	right	1.18092102191927
2	left	sugar	left	0.220173494851865
2	left	sugar	left	0.537261464975073
2	left	sugar	left	0.284780679277062
2	right	sugar	left	0.248338918803417
2	right	sugar	right	0.747457069698768
2	left	sugar	left	0.256042618697719
2	left	sugar	right	0.464163237152785
2	left	sugar	right	0.254833516584551
2	left	sugar	left	0.413574849053635
2	right	sugar	right	0.41627544898561
2	left	sugar	left	0.407764564340444
2	right	sugar	left	0.378756285025764
2	right	sugar	right	0.634214702881282
2	right	sugar	right	0.322869688252365
2	left	sugar	right	1.11239469272586
2	left	sugar	left	0.618127372320178
2	left	sugar	right	0.419073429221451
2	left	sugar	left	0.509345385845783
2	right	sugar	right	0.423382350743388
2	right	sugar	left	0.35759558393345
2	left	sugar	left	0.254261706459809
2	left	sugar	left	0.520416333117915
2	right	sugar	right	0.331708600404193
2	right	sugar	right	0.463206231355011
2	right	sugar	right	0.364318471135328
2	left	sugar	right	0.235718173513552
2	right	sugar	right	0.224350478360854
2	right	sugar	right	0.24993711634017
2	left	sugar	left	0.524621026226394
2	left	sugar	right	0.654842833024172
2	right	sugar	right	0.566141546884428
2	right	sugar	right	0.298633888457789
2	right	sugar	right	0.39277862882287
2	left	sugar	left	0.687900474218966
2	right	sugar	right	0.360144165864061
2	right	cucumber	left	0.480354073987787
2	right	cucumber	left	0.604449151342549
2	right	cucumber	left	0.287116803491379
2	left	cucumber	left	0.424940202804284
2	right	cucumber	right	0.625844741318793
2	right	cucumber	right	0.364332327440142
2	left	cucumber	left	0.598171651564162
2	left	cucumber	left	0.731858747274307
2	right	cucumber	right	0.655482721440434
2	right	cucumber	right	0.362476269830407
2	right	cucumber	right	0.51989019529181
2	right	cucumber	left	0.685183875050987
2	left	cucumber	right	0.44100452513544
2	left	cucumber	right	0.340042302191522
2	left	cucumber	left	0.461644013581607
2	left	cucumber	right	0.57303181403377
2	left	cucumber	right	1.03632157554702
2	left	cucumber	left	0.618378372631723
2	left	cucumber	left	0.511659212741232
2	right	cucumber	right	0.239949767207307
2	left	cucumber	left	0.646103218791773
2	right	cucumber	right	0.327067288021275
2	right	cucumber	right	0.431638368946479
2	left	cucumber	left	0.289255536511318
2	right	cucumber	right	0.350631737309264
2	left	cucumber	left	0.463629101710511
2	left	cucumber	left	0.30281260301075
2	left	cucumber	left	0.548891829062813
2	right	cucumber	right	0.328927713701788
2	right	cucumber	right	0.690821891830249
2	left	cucumber	right	0.918640703938598
2	left	cucumber	left	0.366551889129867
2	right	cucumber	left	0.644798465543073
2	left	cucumber	left	0.396055758027298
2	left	cucumber	left	0.425614950796713
2	left	cucumber	left	0.561055207116239
2	left	cucumber	left	0.401683124132352
2	right	cucumber	right	0.914121852866002
2	left	cucumber	left	0.484173353373334
2	right	cucumber	right	0.464023654220079
2	left	cucumber	right	0.453298696818281
2	left	cucumber	right	1.1275226972527
2	left	cucumber	left	0.295024115955841
2	left	cucumber	left	0.234822018259419
2	left	cucumber	right	0.240871873125928
2	right	cucumber	right	0.427134327600552
2	left	cucumber	left	0.247455245543505
2	left	cucumber	left	0.220516798501276
2	right	cucumber	left	0.297655779319886
2	left	cucumber	left	0.398145961129444
2	right	cucumber	right	0.573003547211599
2	left	cucumber	left	0.55174999188
2	right	cucumber	right	0.224464586096743
2	left	cucumber	left	0.224286614078935
2	left	cucumber	left	0.781581656752884
2	right	cucumber	left	0.435060449714206
2	left	cucumber	left	0.677188826806538
2	right	cucumber	left	0.276251201166512
2	right	cucumber	right	0.75322938105275
2	right	cucumber	left	0.548865968462793
2	right	cucumber	right	0.600986924028867
2	left	cucumber	left	0.510835591064186
2	left	cucumber	left	0.282442873730123
2	left	cucumber	left	0.286060497142442
2	right	cucumber	right	0.709568637276314
2	left	cucumber	left	0.300523402947302
2	left	cucumber	right	0.225692533504115
2	right	cucumber	left	0.30844565516108
2	left	cucumber	left	0.40742627511822
